Name in documentation,Category,Qty,Full Name,Notes,Supplier 1,Part No,Link
2mm Hex key,tool,1,2mm Hex key,,RS,707-3282,https://uk.rs-online.com/web/p/hex-keys/7073282?gb=s
3d printer,machine,1,3d printer,,RS,ENDER-3 S1 PRO,https://uk.rs-online.com/web/p/3d-printers/2857472?gb=s
clear plastic sheet,material,1,clear plastic sheet,,RS,334-6472,https://uk.rs-online.com/web/p/plastic-sheets/3346472?gb=s
Flexible Tube,material,1,Flexible tube,,RS,260-4412,https://uk.rs-online.com/web/p/hose-pipe-flexible-tubes/2604412?gb=s
Laser cutter,machine,1,Laser cutter,,RS,ENDER-3 S1 PRO,https://uk.rs-online.com/web/p/3d-printers/2857472?gb=s
m3 hex nut,part,2,"RS PRO, Plain Stainless Steel Hex Nut, DIN 934, M3",,RS,189-563,https://uk.rs-online.com/web/p/hex-nuts/0189563
M3x8mm hex socket counter sunk screw,part,8,M3x8mm hex socket counter sunk screw,,RS,304-4918,https://uk.rs-online.com/web/p/socket-screws/3044918?gb=s
PLA filament,material,100 g,PLA filament,,RS,832-0214,https://uk.rs-online.com/web/p/3d-printing-materials/8320214?gb=s
Pozidriv PZ1 screw driver,tool,1,Pozidriv PZ1 screw driver,,RS,544-702,https://uk.rs-online.com/web/p/screwdrivers/0544702?gb=a
Servo motor,part,1,Servo motor,,RS,781-3058,https://uk.rs-online.com/web/p/servo-motors/7813058?gb=a
